WELL_NAME,PAD,TARGET_FORMATION,MD_FT,EASTING_FT,NORTHING_FT,TVD_FT,INCLINATION_DEG,AZIMUTH_DEG,DOGLEG_SEVERITY_DEG_100FT,BUILD_RATE_DEG_100FT,ROP_FT_HR,WOB_KLB,FRAC_STAGE,PROPPANT_LBS,FLUID_BBL,ISIP_PSI
MID-A1H,Bravo 12,WCA,4200,401359.1,406385.1,4199.9,0.38,12.0,0.58,0.379,43.4,21.2,,,,
MID-A1H,Bravo 12,WCA,4300,401359.1,406385.1,4299.9,0,12.0,0.6,-0.558,43.6,39.7,,,,
MID-A1H,Bravo 12,WCA,4400,401359.3,406385.6,4399.9,0.32,12.0,0.54,0.323,24.7,29.9,,,,
MID-A1H,Bravo 12,WCA,4500,401359.3,406385.9,4499.9,0.14,12.0,0.22,-0.185,24.2,23.1,,,,
MID-A1H,Bravo 12,WCA,4600,401359.3,406385.9,4599.9,0,12.0,0.54,-0.477,47.7,24.8,,,,
MID-A1H,Bravo 12,WCA,4700,401359.4,406386.5,4699.9,0.37,12.0,0.54,0.37,26.2,19.2,,,,
MID-A1H,Bravo 12,WCA,4800,401359.4,406386.5,4799.9,0,12.0,0.69,-0.374,25.5,21.2,,,,
MID-A1H,Bravo 12,WCA,4900,401359.5,406386.8,4899.9,0.16,12.0,0.41,0.157,43.2,36.4,,,,
MID-A1H,Bravo 12,WCA,5000,401359.5,406386.8,4999.9,0,12.0,0.25,-0.172,37.6,28.5,,,,
MID-A1H,Bravo 12,WCA,5100,401359.6,406387.4,5099.9,0.35,12.0,0.36,0.349,25.5,31.8,,,,
MID-A1H,Bravo 12,WCA,5200,401359.6,406387.4,5199.9,0,12.0,0.62,-0.549,24.8,31.9,,,,
MID-A1H,Bravo 12,WCA,5300,401359.8,406388.1,5299.9,0.44,12.0,0.72,0.441,46.3,27.7,,,,
MID-A1H,Bravo 12,WCA,5400,401359.8,406388.4,5399.9,0.16,12.0,0.5,-0.279,32.3,23.8,,,,
MID-A1H,Bravo 12,WCA,5500,401360.0,406389.2,5499.9,0.44,12.0,0.59,0.279,28.4,24.4,,,,
MID-A1H,Bravo 12,WCA,5600,401360.1,406389.7,5599.9,0.3,12.0,0.44,-0.137,49.9,29.4,,,,
MID-A1H,Bravo 12,WCA,5700,401360.3,406390.6,5699.9,0.53,12.0,0.43,0.232,41.0,26.2,,,,
MID-A1H,Bravo 12,WCA,5800,401360.5,406391.4,5799.9,0.47,12.0,0.38,-0.06,25.2,31.4,,,,
MID-A1H,Bravo 12,WCA,5900,401360.6,406392.1,5899.9,0.39,12.0,0.09,-0.081,44.1,28.7,,,,
MID-A1H,Bravo 12,WCA,6000,401360.6,406392.1,5999.9,0,12.0,0.78,-0.513,26.1,22.5,,,,
MID-A1H,Bravo 12,WCA,6100,401360.6,406392.1,6099.9,0,12.0,0.35,-0.171,35.0,35.1,,,,
MID-A1H,Bravo 12,WCA,6200,401360.8,406392.7,6199.9,0.37,12.0,0.58,0.374,29.1,37.0,,,,
MID-A1H,Bravo 12,WCA,6300,401360.8,406393.1,6299.9,0.24,12.0,0.38,-0.139,34.6,37.2,,,,
MID-A1H,Bravo 12,WCA,6400,401361.9,406398.5,6399.7,3.17,12.0,3.23,2.931,47.4,33.5,,,,
MID-A1H,Bravo 12,WCA,6500,401364.3,406409.8,6499.0,6.66,12.0,3.63,3.489,35.6,36.0,,,,
MID-A1H,Bravo 12,WCA,6600,401367.8,406426.7,6597.5,9.95,12.0,3.35,3.292,46.3,33.2,,,,
MID-A1H,Bravo 12,WCA,6700,401372.8,406449.9,6694.7,13.69,12.0,3.76,3.742,47.5,30.1,,,,
MID-A1H,Bravo 12,WCA,6800,401379.5,406480.5,6789.7,18.21,12.0,4.64,4.52,30.5,22.6,,,,
MID-A1H,Bravo 12,WCA,6900,401387.7,406518.0,6882.0,22.55,12.0,4.42,4.337,27.2,27.3,,,,
MID-A1H,Bravo 12,WCA,7000,401397.0,406561.0,6971.8,26.13,12.0,3.93,3.587,30.1,24.6,,,,
MID-A1H,Bravo 12,WCA,7100,401407.9,406610.1,7058.2,30.22,12.0,4.29,4.091,48.8,34.9,,,,
MID-A1H,Bravo 12,WCA,7200,401420.0,406665.4,7140.8,34.37,12.0,4.17,4.145,42.6,37.6,,,,
MID-A1H,Bravo 12,WCA,7300,401433.0,406725.8,7219.6,38.01,12.0,3.9,3.641,48.8,18.7,,,,
MID-A1H,Bravo 12,WCA,7400,401447.7,406792.3,7292.8,42.9,12.0,5.01,4.887,44.9,34.5,,,,
MID-A1H,Bravo 12,WCA,7500,401463.3,406864.2,7360.6,47.29,12.0,4.64,4.395,46.9,32.9,,,,
MID-A1H,Bravo 12,WCA,7600,401480.0,406940.8,7423.1,51.34,12.0,4.38,4.051,44.2,19.0,,,,
MID-A1H,Bravo 12,WCA,7700,401497.5,407021.3,7480.0,55.35,12.0,4.19,4.008,47.0,21.3,,,,
MID-A1H,Bravo 12,WCA,7800,401515.8,407105.3,7531.5,58.99,12.0,3.67,3.636,33.1,32.2,,,,
MID-A1H,Bravo 12,WCA,7900,401535.4,407192.4,7577.3,62.71,12.0,3.94,3.726,27.8,18.3,,,,
MID-A1H,Bravo 12,WCA,8000,401553.3,407282.5,7615.7,67.45,12.0,4.82,4.734,47.7,19.5,,,,
MID-A1H,Bravo 12,WCA,8100,401574.0,407375.1,7648.0,71.12,12.0,3.85,3.669,46.4,36.2,,,,
MID-A1H,Bravo 12,WCA,8200,401593.9,407469.9,7673.3,75.39,12.0,4.34,4.275,39.8,20.4,,,,
MID-A1H,Bravo 12,WCA,8300,401615.4,407566.3,7690.9,79.84,12.0,4.51,4.453,30.5,20.7,,,,
MID-A1H,Bravo 12,WCA,8400,401635.7,407663.8,7701.4,83.99,12.0,4.38,4.146,39.1,28.9,,,,
MID-A1H,Bravo 12,WCA,8500,401656.0,407761.5,7706.7,86.93,12.0,3.22,2.937,46.2,34.2,,,,
MID-A1H,Bravo 12,WCA,8600,401675.8,407859.2,7709.4,88.44,12.0,1.8,1.51,98.8,20.5,1,398933,10601,6239
MID-A1H,Bravo 12,WCA,8700,401696.8,407957.3,7710.0,89.65,12.0,1.4,1.216,70.0,39.7,,,,
MID-A1H,Bravo 12,WCA,8800,401718.2,408055.1,7710.3,89.85,12.0,0.22,0.197,75.7,32.0,2,340833,11267,6626
MID-A1H,Bravo 12,WCA,8900,401740.0,408153.1,7710.2,90.04,12.0,0.49,0.186,95.7,28.5,,,,
MID-A1H,Bravo 12,WCA,9000,401761.3,408250.8,7710.0,90.13,12.0,0.16,0.094,68.4,38.8,3,539237,10133,7001
MID-A1H,Bravo 12,WCA,9100,401783.5,408348.6,7709.3,90.4,12.0,0.49,0.264,62.1,18.3,,,,
MID-A1H,Bravo 12,WCA,9200,401803.8,408446.5,7708.9,90.24,12.0,0.33,-0.156,97.5,31.7,4,594717,8966,6476
MID-A1H,Bravo 12,WCA,9300,401824.9,408544.2,7709.7,89.57,12.0,0.7,-0.671,92.2,31.3,,,,
MID-A1H,Bravo 12,WCA,9400,401845.0,408641.8,7710.6,89.47,12.0,0.28,-0.103,75.6,34.2,5,473680,10842,7231
MID-A1H,Bravo 12,WCA,9500,401867.0,408739.4,7711.2,89.68,12.0,0.42,0.218,89.8,27.7,,,,
MID-A1H,Bravo 12,WCA,9600,401888.9,408837.4,7710.7,90.23,12.0,0.78,0.547,83.4,25.4,6,554121,9981,7137
MID-A1H,Bravo 12,WCA,9700,401910.2,408935.2,7711.4,89.6,12.0,0.76,-0.627,82.2,27.4,,,,
MID-A1H,Bravo 12,WCA,9800,401930.5,409032.9,7712.3,89.52,12.0,0.13,-0.083,69.2,34.1,7,394919,8969,7351
MID-A1H,Bravo 12,WCA,9900,401951.3,409130.4,7713.2,89.46,12.0,0.19,-0.062,73.4,36.0,,,,
MID-A1H,Bravo 12,WCA,10000,401971.5,409228.3,7713.5,89.84,12.0,0.46,0.38,62.8,29.8,8,479600,10092,6679
MID-A1H,Bravo 12,WCA,10100,401991.9,409325.9,7713.2,90.18,12.0,0.63,0.337,73.1,26.1,,,,
MID-A1H,Bravo 12,WCA,10200,402012.4,409423.9,7713.7,89.71,12.0,0.67,-0.47,86.6,19.0,9,492530,9697,6118
MID-A1H,Bravo 12,WCA,10300,402033.4,409522.0,7714.9,89.32,12.0,0.62,-0.386,74.2,36.7,,,,
MID-A1H,Bravo 12,WCA,10400,402054.7,409619.8,7715.9,89.44,12.0,0.24,0.124,89.2,36.6,10,416871,11770,7465
MID-A1H,Bravo 12,WCA,10500,402075.8,409717.6,7716.3,89.76,12.0,0.53,0.319,73.5,30.3,,,,
MID-A1H,Bravo 12,WCA,10600,402096.8,409815.4,7716.9,89.68,12.0,0.29,-0.084,88.8,39.8,11,524106,9828,6430
MID-A1H,Bravo 12,WCA,10700,402117.0,409913.2,7717.1,89.88,12.0,0.41,0.206,70.9,36.4,,,,
MID-A1H,Bravo 12,WCA,10800,402137.0,410011.1,7716.6,90.26,12.0,0.72,0.376,99.6,19.2,12,473225,10492,6346
MID-A1H,Bravo 12,WCA,10900,402157.1,410109.0,7715.7,90.53,12.0,0.48,0.276,83.6,27.4,,,,
MID-A1H,Bravo 12,WCA,11000,402177.0,410206.7,7715.7,89.98,12.0,0.56,-0.558,78.3,34.8,13,508224,11606,7063
MID-A1H,Bravo 12,WCA,11100,402198.3,410304.7,7716.1,89.76,12.0,0.27,-0.216,69.3,37.9,,,,
MID-A1H,Bravo 12,WCA,11200,402220.4,410402.5,7716.4,89.87,12.0,0.4,0.114,68.0,18.8,14,384458,10150,7182
MID-A1H,Bravo 12,WCA,11300,402242.2,410500.1,7715.6,90.42,12.0,0.81,0.549,75.1,33.2,,,,
MID-A1H,Bravo 12,WCA,11400,402264.4,410597.9,7716.2,89.67,12.0,0.76,-0.756,84.7,19.0,15,442337,10451,6150
MID-A1H,Bravo 12,WCA,11500,402285.2,410695.4,7716.1,90.07,12.0,0.51,0.399,81.2,25.7,,,,
MID-A1H,Bravo 12,WCA,11600,402304.9,410792.9,7716.3,89.85,12.0,0.37,-0.214,96.9,32.2,16,356662,8905,7364
MID-A1H,Bravo 12,WCA,11700,402326.5,410890.5,7716.4,89.94,12.0,0.19,0.085,83.1,36.9,,,,
MID-A1H,Bravo 12,WCA,11800,402346.3,410988.4,7716.8,89.8,12.0,0.46,-0.14,68.8,19.7,17,586797,10269,6960
MID-A1H,Bravo 12,WCA,11900,402366.0,411086.3,7717.7,89.5,12.0,0.49,-0.299,76.2,36.5,,,,
MID-A1H,Bravo 12,WCA,12000,402385.6,411184.3,7718.8,89.36,12.0,0.25,-0.143,93.3,35.6,18,452586,9493,6283
MID-A1H,Bravo 12,WCA,12100,402406.0,411282.0,7718.4,90.2,12.0,0.98,0.844,62.5,21.9,,,,
MID-A1H,Bravo 12,WCA,12200,402426.7,411380.0,7718.5,89.96,12.0,0.28,-0.238,97.2,24.2,19,425330,9010,6264
MID-A1H,Bravo 12,WCA,12300,402448.2,411478.0,7719.2,89.61,12.0,0.54,-0.351,98.9,23.1,,,,
MID-A1H,Bravo 12,WCA,12400,402469.1,411576.0,7720.3,89.35,12.0,0.33,-0.264,79.6,34.3,20,499331,10206,7283
MID-A1H,Bravo 12,WCA,12500,402488.9,411674.0,7720.1,90.15,12.0,0.99,0.799,81.1,25.0,,,,
MID-A1H,Bravo 12,WCA,12600,402510.7,411771.8,7720.7,89.61,12.0,0.7,-0.536,81.3,18.9,21,528558,8281,7461
MID-A1H,Bravo 12,WCA,12700,402531.3,411869.6,7720.7,90.04,12.0,0.7,0.433,70.5,19.1,,,,
MID-A1H,Bravo 12,WCA,12800,402553.5,411967.2,7720.7,90.0,12.0,0.16,-0.044,70.8,38.0,22,344590,11523,6298
MID-A1H,Bravo 12,WCA,12900,402573.6,412065.1,7721.3,89.65,12.0,0.37,-0.349,63.8,34.8,,,,
MID-A1H,Bravo 12,WCA,13000,402595.0,412162.7,7721.0,90.13,12.0,0.49,0.479,78.2,25.4,23,371187,8968,7388
MID-A1H,Bravo 12,WCA,13100,402615.8,412260.4,7721.0,90.05,12.0,0.4,-0.078,87.8,18.1,,,,
MID-A1H,Bravo 12,WCA,13200,402636.7,412358.3,7720.9,90.01,12.0,0.15,-0.038,63.1,21.7,24,560471,9657,7047
MID-A1H,Bravo 12,WCA,13300,402656.1,412456.0,7721.9,89.46,12.0,0.76,-0.553,71.5,28.2,,,,
MID-A1H,Bravo 12,WCA,13400,402675.9,412553.7,7723.0,89.33,12.0,0.47,-0.133,88.8,37.8,25,459831,11776,7231
MID-A1H,Bravo 12,WCA,13500,402697.8,412651.7,7724.1,89.37,12.0,0.16,0.046,99.7,20.3,,,,
MID-A1H,Bravo 12,WCA,13600,402719.8,412749.3,7724.8,89.63,12.0,0.48,0.259,99.7,23.1,26,459158,10457,6617
MID-A1H,Bravo 12,WCA,13700,402740.2,412847.3,7724.2,90.34,12.0,0.78,0.705,76.8,33.4,,,,
MID-A1H,Bravo 12,WCA,13800,402759.9,412945.2,7723.8,90.21,12.0,0.24,-0.131,83.3,23.1,27,344978,8417,6960
MID-A1H,Bravo 12,WCA,13900,402779.9,413043.0,7724.0,89.88,12.0,0.62,-0.333,89.5,20.5,,,,
MID-A1H,Bravo 12,WCA,14000,402801.7,413140.5,7724.5,89.75,12.0,0.31,-0.122,84.9,25.5,28,556057,11646,6772
MID-A1H,Bravo 12,WCA,14100,402823.6,413238.6,7724.5,89.99,12.0,0.41,0.24,84.0,25.5,,,,
MID-A1H,Bravo 12,WCA,14200,402844.1,413336.1,7724.1,90.23,12.0,0.26,0.24,68.9,30.4,29,343277,11765,6223
MID-A1H,Bravo 12,WCA,14300,402863.7,413433.9,7724.1,89.97,12.0,0.53,-0.264,78.6,18.8,,,,
MID-A1H,Bravo 12,WCA,14400,402884.0,413531.6,7723.7,90.26,12.0,0.62,0.286,88.5,31.4,30,486781,9333,6768
MID-A1H,Bravo 12,WCA,14500,402904.4,413629.1,7724.4,89.61,12.0,0.91,-0.647,97.6,34.9,,,,
MID-A1H,Bravo 12,WCA,14600,402925.2,413727.1,7724.0,90.18,12.0,0.59,0.569,93.2,38.2,31,489715,10814,6190
MID-A1H,Bravo 12,WCA,14700,402945.5,413825.1,7724.1,89.96,12.0,0.4,-0.215,78.3,31.8,,,,
MID-A1H,Bravo 12,WCA,14800,402967.3,413922.7,7724.9,89.56,12.0,0.67,-0.403,80.2,21.1,32,441955,11342,6532
MID-A1H,Bravo 12,WCA,14900,402989.1,414020.6,7724.6,90.17,12.0,0.62,0.605,66.0,28.1,,,,
MID-A1H,Bravo 12,WCA,15000,403010.1,414118.2,7724.9,89.79,12.0,0.68,-0.373,94.5,39.5,33,501645,9484,7414
MID-A1H,Bravo 12,WCA,15100,403031.1,414216.1,7724.6,90.19,12.0,0.52,0.397,76.5,24.0,,,,
MID-A1H,Bravo 12,WCA,15200,403051.4,414313.9,7725.0,89.75,12.0,0.72,-0.442,90.1,35.7,34,446993,10570,6544
MID-A1H,Bravo 12,WCA,15300,403073.1,414411.4,7725.3,89.87,12.0,0.15,0.118,64.6,19.4,,,,
MID-A1H,Bravo 12,WCA,15400,403093.1,414509.5,7725.8,89.72,12.0,0.4,-0.148,76.9,22.5,35,352346,9027,7340
MID-A1H,Bravo 12,WCA,15500,403112.6,414607.2,7726.8,89.41,12.0,0.52,-0.31,82.4,31.8,,,,
MID-A1H,Bravo 12,WCA,15600,403132.0,414705.1,7726.4,90.22,12.0,1.1,0.814,73.9,37.2,36,567644,9937,7350
MID-A1H,Bravo 12,WCA,15700,403153.0,414802.7,7725.7,90.42,12.0,0.37,0.191,81.7,23.1,,,,
MID-A1H,Bravo 12,WCA,15800,403174.7,414900.5,7725.0,90.39,12.0,0.12,-0.03,82.2,37.1,37,554480,11471,6356
MID-A1H,Bravo 12,WCA,15900,403195.1,414998.2,7724.6,90.22,12.0,0.48,-0.168,78.3,24.2,,,,
MID-A1H,Bravo 12,WCA,16000,403216.6,415096.2,7725.2,89.69,12.0,0.74,-0.528,71.9,29.7,38,426224,8535,6543
MID-A1H,Bravo 12,WCA,16100,403238.0,415193.8,7725.0,90.13,12.0,0.55,0.438,95.3,37.1,,,,
MID-A1H,Bravo 12,WCA,16200,403258.9,415291.7,7724.9,90.03,12.0,0.25,-0.1,72.4,26.7,39,545164,8630,7106
MID-A1H,Bravo 12,WCA,16300,403279.5,415389.3,7724.4,90.26,12.0,0.49,0.237,85.6,31.2,,,,
MID-A1H,Bravo 12,WCA,16400,403300.6,415487.1,7723.8,90.36,12.0,0.41,0.101,70.6,26.4,40,445265,8786,6191
MID-A1H,Bravo 12,WCA,16500,403320.5,415585.1,7722.9,90.51,12.0,0.38,0.143,83.0,23.8,,,,
MID-A1H,Bravo 12,WCA,16600,403341.9,415683.1,7721.8,90.65,12.0,0.38,0.143,81.9,24.3,41,483949,11350,6246
MID-A1H,Bravo 12,WCA,16700,403363.9,415780.9,7720.9,90.5,12.0,0.16,-0.151,89.1,23.0,,,,
MID-A1H,Bravo 12,WCA,16800,403385.8,415878.6,7720.1,90.48,12.0,0.22,-0.023,67.3,28.1,42,341998,9795,7167
MID-A1H,Bravo 12,WCA,16900,403406.5,415976.2,7720.1,90.0,12.0,0.56,-0.478,96.5,30.5,,,,
MID-A1H,Bravo 12,WCA,17000,403427.1,416073.8,7719.6,90.28,12.0,0.33,0.285,75.3,21.0,43,479741,10815,7194
MID-A1H,Bravo 12,WCA,17100,403446.6,416171.9,7719.2,90.2,12.0,0.12,-0.081,87.2,36.6,,,,
MID-A1H,Bravo 12,WCA,17200,403467.2,416269.8,7719.6,89.83,12.0,0.49,-0.376,99.5,38.1,44,594856,9329,6502
MID-A1H,Bravo 12,WCA,17300,403488.1,416367.4,7719.2,90.21,12.0,0.42,0.382,86.4,39.8,,,,
MID-A1H,Bravo 12,WCA,17400,403507.8,416465.1,7719.2,89.97,12.0,0.56,-0.24,67.5,24.5,45,427709,11354,7494
MID-A1H,Bravo 12,WCA,17500,403528.3,416562.8,7719.0,90.14,12.0,0.49,0.173,75.2,37.5,,,,
MID-A1H,Bravo 12,WCA,17600,403547.9,416660.6,7718.4,90.34,12.0,0.22,0.195,66.3,31.3,46,479159,11040,6230
MID-A2H,Bravo 12,AVU,100,402000.1,406500.6,100.0,0.36,12.0,0.62,0.355,43.0,31.3,,,,
MID-A2H,Bravo 12,AVU,200,402000.2,406500.9,200.0,0.2,12.0,0.32,-0.16,37.4,21.6,,,,
MID-A2H,Bravo 12,AVU,300,402000.3,406501.4,300.0,0.26,12.0,0.14,0.063,42.4,21.7,,,,
MID-A2H,Bravo 12,AVU,400,402000.5,406502.2,400.0,0.47,12.0,0.52,0.214,36.0,21.6,,,,
MID-A2H,Bravo 12,AVU,500,402000.5,406502.3,500.0,0.09,12.0,0.66,-0.378,41.3,30.5,,,,
MID-A2H,Bravo 12,AVU,600,402000.6,406503.0,600.0,0.36,12.0,0.44,0.265,39.0,19.7,,,,
MID-A2H,Bravo 12,AVU,700,402000.7,406503.4,700.0,0.26,12.0,0.12,-0.103,48.6,36.9,,,,
MID-A2H,Bravo 12,AVU,800,402000.8,406503.5,800.0,0.07,12.0,0.53,-0.184,33.4,24.5,,,,
MID-A2H,Bravo 12,AVU,900,402000.9,406504.4,900.0,0.49,12.0,0.47,0.42,27.4,35.1,,,,
MID-A2H,Bravo 12,AVU,1000,402000.9,406504.4,1000.0,0,12.0,0.78,-0.633,41.9,29.3,,,,
MID-A2H,Bravo 12,AVU,1100,402001.1,406505.1,1100.0,0.45,12.0,0.52,0.452,30.0,22.4,,,,
MID-A2H,Bravo 12,AVU,1200,402001.3,406506.0,1200.0,0.51,12.0,0.26,0.057,44.6,26.5,,,,
MID-A2H,Bravo 12,AVU,1300,402001.4,406506.7,1300.0,0.41,12.0,0.44,-0.101,36.4,25.9,,,,
MID-A2H,Bravo 12,AVU,1400,402001.6,406507.6,1400.0,0.5,12.0,0.43,0.09,41.2,25.0,,,,
MID-A2H,Bravo 12,AVU,1500,402001.6,406507.6,1500.0,0,12.0,0.79,-0.543,38.9,27.5,,,,
MID-A2H,Bravo 12,AVU,1600,402001.6,406507.6,1600.0,0,12.0,0.38,-0.264,39.0,20.1,,,,
MID-A2H,Bravo 12,AVU,1700,402001.6,406507.6,1700.0,0,12.0,0.28,-0.219,43.2,27.6,,,,
MID-A2H,Bravo 12,AVU,1800,402001.7,406507.7,1800.0,0.11,12.0,0.45,0.106,33.7,21.8,,,,
MID-A2H,Bravo 12,AVU,1900,402001.9,406508.7,1900.0,0.58,12.0,0.54,0.472,26.9,23.4,,,,
MID-A2H,Bravo 12,AVU,2000,402002.0,406509.4,2000.0,0.37,12.0,0.26,-0.204,26.1,33.1,,,,
MID-A2H,Bravo 12,AVU,2100,402002.0,406509.4,2100.0,0,12.0,0.55,-0.504,49.5,23.0,,,,
MID-A2H,Bravo 12,AVU,2200,402002.0,406509.4,2200.0,0,12.0,0.44,-0.286,39.1,26.1,,,,
MID-A2H,Bravo 12,AVU,2300,402002.0,406509.4,2300.0,0,12.0,0.34,-0.255,37.7,23.0,,,,
MID-A2H,Bravo 12,AVU,2400,402002.0,406509.4,2400.0,0,12.0,0.46,-0.138,31.1,37.6,,,,
MID-A2H,Bravo 12,AVU,2500,402002.0,406509.4,2500.0,0,12.0,0.15,-0.046,35.9,27.2,,,,
MID-A2H,Bravo 12,AVU,2600,402002.0,406509.4,2600.0,0,12.0,0.23,-0.116,32.0,24.0,,,,
MID-A2H,Bravo 12,AVU,2700,402002.0,406509.4,2700.0,0,12.0,0.04,-0.019,33.5,20.7,,,,
MID-A2H,Bravo 12,AVU,2800,402002.0,406509.4,2800.0,0,12.0,0.54,-0.256,24.0,27.4,,,,
MID-A2H,Bravo 12,AVU,2900,402002.0,406509.4,2900.0,0,12.0,0.32,-0.235,40.2,39.2,,,,
MID-A2H,Bravo 12,AVU,3000,402002.0,406509.4,3000.0,0,12.0,0.42,-0.1,32.4,31.9,,,,
MID-A2H,Bravo 12,AVU,3100,402002.0,406509.6,3100.0,0.12,12.0,0.32,0.116,28.1,22.3,,,,
MID-A2H,Bravo 12,AVU,3200,402002.2,406510.1,3200.0,0.34,12.0,0.27,0.224,28.1,25.9,,,,
