FORMATION,EASTING_FT,NORTHING_FT,TOP_TVD_FT,AVG_BUILD_RATE_DEG_100FT,AVG_POROSITY_PCT
WCA,406100,410780,8610,-0.151,9.12
WCA,406100,411400,8619,-0.165,9.16
WCA,406100,412020,8644,-0.175,8.81
WCA,406100,412640,8667,-0.117,8.89
WCA,406800,405200,8742,0.004,8.52
WCA,406800,405820,8745,0.032,8.55
WCA,406800,406440,8725,-0.005,8.88
WCA,406800,407060,8700,-0.04,8.31
WCA,406800,407680,8661,-0.051,8.24
WCA,406800,408300,8625,-0.078,8.86
WCA,406800,408920,8594,-0.126,8.72
WCA,406800,409540,8575,-0.174,8.33
WCA,406800,410160,8540,-0.204,9.0
WCA,406800,410780,8570,-0.222,8.41
WCA,406800,411400,8561,-0.256,9.01
WCA,406800,412020,8593,-0.231,8.76
WCA,406800,412640,8628,-0.21,8.34
WCA,407500,405200,8698,0.0,8.38
WCA,407500,405820,8706,-0.051,8.12
WCA,407500,406440,8660,-0.04,8.53
WCA,407500,407060,8642,-0.06,8.26
WCA,407500,407680,8602,-0.128,8.04
WCA,407500,408300,8580,-0.167,8.53
WCA,407500,408920,8548,-0.181,8.51
WCA,407500,409540,8509,-0.205,8.43
WCA,407500,410160,8515,-0.274,8.11
WCA,407500,410780,8515,-0.259,8.22
WCA,407500,411400,8540,-0.292,8.15
WCA,407500,412020,8570,-0.287,8.48
WCA,407500,412640,8581,-0.248,7.9
WCA,408200,405200,8645,-0.039,7.59
WCA,408200,405820,8662,-0.058,7.36
WCA,408200,406440,8613,-0.089,7.36
WCA,408200,407060,8595,-0.086,7.63
WCA,408200,407680,8569,-0.152,8.0
WCA,408200,408300,8528,-0.158,7.37
WCA,408200,408920,8506,-0.214,7.41
WCA,408200,409540,8459,-0.25,7.43
WCA,408200,410160,8467,-0.286,7.96
WCA,408200,410780,8480,-0.289,7.45
WCA,408200,411400,8479,-0.317,7.51
WCA,408200,412020,8527,-0.314,7.72
WCA,408200,412640,8564,-0.309,7.88
WCA,408900,405200,8606,-0.058,6.96
WCA,408900,405820,8599,-0.032,7.43
WCA,408900,406440,8585,-0.064,7.13
WCA,408900,407060,8571,-0.112,7.01
WCA,408900,407680,8539,-0.151,7.17
WCA,408900,408300,8491,-0.194,7.38
WCA,408900,408920,8472,-0.203,7.28
WCA,408900,409540,8441,-0.265,7.05
WCA,408900,410160,8436,-0.289,7.49
WCA,408900,410780,8442,-0.318,7.33
WCA,408900,411400,8461,-0.286,7.52
WCA,408900,412020,8479,-0.322,6.83
WCA,408900,412640,8506,-0.298,6.86
AVU,400500,405200,9322,0.283,6.68
AVU,400500,405820,9325,0.259,6.66
AVU,400500,406440,9308,0.264,6.99
AVU,400500,407060,9271,0.25,6.67
AVU,400500,407680,9245,0.212,6.63
AVU,400500,408300,9209,0.134,7.16
AVU,400500,408920,9185,0.089,6.82
AVU,400500,409540,9141,0.064,7.11
AVU,400500,410160,9148,0.063,6.88
AVU,400500,410780,9148,0.038,6.57
AVU,400500,411400,9162,0.011,6.66
AVU,400500,412020,9190,0.036,7.05
AVU,400500,412640,9234,0.066,6.84
AVU,401200,405200,9361,0.3,7.5
AVU,401200,405820,9382,0.292,7.21
AVU,401200,406440,9340,0.281,7.32
AVU,401200,407060,9311,0.248,7.07
AVU,401200,407680,9281,0.219,7.19
AVU,401200,408300,9250,0.182,7.72
AVU,401200,408920,9209,0.115,7.08
AVU,401200,409540,9203,0.121,7.5
AVU,401200,410160,9199,0.093,7.42
AVU,401200,410780,9195,0.079,7.2
AVU,401200,411400,9194,0.059,7.52
AVU,401200,412020,9243,0.069,7.31
AVU,401200,412640,9274,0.079,7.67
AVU,401900,405200,9417,0.279,7.74
AVU,401900,405820,9404,0.29,7.87
AVU,401900,406440,9382,0.283,7.6
AVU,401900,407060,9370,0.237,8.35
AVU,401900,407680,9329,0.215,8.11
AVU,401900,408300,9285,0.195,8.27
AVU,401900,408920,9256,0.129,8.04
AVU,401900,409540,9239,0.088,7.79
AVU,401900,410160,9232,0.079,7.95
AVU,401900,410780,9227,0.061,7.71
AVU,401900,411400,9253,0.027,7.76
AVU,401900,412020,9283,0.048,8.06
AVU,401900,412640,9299,0.057,8.03
AVU,402600,405200,9444,0.29,8.53
AVU,402600,405820,9442,0.271,8.26
AVU,402600,406440,9423,0.27,8.42
AVU,402600,407060,9391,0.203,8.22
AVU,402600,407680,9344,0.198,8.56
AVU,402600,408300,9303,0.154,8.19
AVU,402600,408920,9289,0.108,8.72
AVU,402600,409540,9279,0.08,8.56
AVU,402600,410160,9254,0.06,8.59
AVU,402600,410780,9267,0.015,8.07
AVU,402600,411400,9287,0.027,8.33
AVU,402600,412020,9305,0.039,8.65
AVU,402600,412640,9332,0.048,8.2
AVU,403300,405200,9455,0.207,8.56
AVU,403300,405820,9469,0.212,8.69
AVU,403300,406440,9443,0.193,8.8
AVU,403300,407060,9402,0.157,8.65
AVU,403300,407680,9367,0.145,8.97
AVU,403300,408300,9324,0.106,9.07
AVU,403300,408920,9302,0.054,9.0
AVU,403300,409540,9280,0.02,8.78
AVU,403300,410160,9283,-0.045,9.07
AVU,403300,410780,9274,-0.018,8.4
AVU,403300,411400,9295,-0.055,8.98
AVU,403300,412020,9323,-0.067,8.76
AVU,403300,412640,9358,-0.019,9.03
AVU,404000,405200,9476,0.154,8.68
AVU,404000,405820,9459,0.148,9.3
AVU,404000,406440,9442,0.119,9.26
AVU,404000,407060,9426,0.069,9.06
AVU,404000,407680,9381,0.048,8.69
AVU,404000,408300,9335,0.029,9.08
AVU,404000,408920,9321,-0.033,8.92
AVU,404000,409540,9289,-0.087,9.01
AVU,404000,410160,9275,-0.111,8.97
AVU,404000,410780,9289,-0.119,9.06
AVU,404000,411400,9307,-0.104,8.66
AVU,404000,412020,9335,-0.127,9.33
AVU,404000,412640,9370,-0.108,8.87
AVU,404700,405200,9467,0.068,8.9
AVU,404700,405820,9442,0.054,8.79
AVU,404700,406440,9423,0.028,8.74
AVU,404700,407060,9410,0.027,9.22
AVU,404700,407680,9371,-0.01,9.17
AVU,404700,408300,9347,-0.051,9.31
AVU,404700,408920,9311,-0.078,9.42
AVU,404700,409540,9269,-0.13,8.81
AVU,404700,410160,9259,-0.165,8.95
AVU,404700,410780,9278,-0.189,8.98
AVU,404700,411400,9292,-0.176,9.18
AVU,404700,412020,9328,-0.168,9.16
AVU,404700,412640,9358,-0.188,8.72
AVU,405400,405200,9444,-0.003,9.32
AVU,405400,405820,9444,-0.003,8.81
AVU,405400,406440,9408,-0.03,8.75
AVU,405400,407060,9377,-0.028,9.19
AVU,405400,407680,9352,-0.08,9.38
AVU,405400,408300,9304,-0.1,9.24
AVU,405400,408920,9275,-0.159,9.2
AVU,405400,409540,9259,-0.189,8.7
AVU,405400,410160,9260,-0.243,9.22
AVU,405400,410780,9264,-0.242,9.22
AVU,405400,411400,9265,-0.248,9.18
AVU,405400,412020,9285,-0.239,9.32
AVU,405400,412640,9330,-0.251,8.77
AVU,406100,405200,9418,-0.031,8.92
AVU,406100,405820,9402,-0.059,9.15
AVU,406100,406440,9375,-0.065,8.57
AVU,406100,407060,9358,-0.086,8.57
AVU,406100,407680,9322,-0.125,8.72
AVU,406100,408300,9272,-0.145,9.25
AVU,406100,408920,9256,-0.199,9.26
AVU,406100,409540,9212,-0.267,9.04
AVU,406100,410160,9206,-0.253,8.75
AVU,406100,410780,9226,-0.275,8.84
AVU,406100,411400,9241,-0.318,8.92
AVU,406100,412020,9270,-0.282,8.94
AVU,406100,412640,9312,-0.293,8.75
AVU,406800,405200,9360,-0.049,8.5
AVU,406800,405820,9357,-0.044,8.94
AVU,406800,406440,9346,-0.08,9.0
AVU,406800,407060,9305,-0.088,8.52
AVU,406800,407680,9281,-0.161,9.0
AVU,406800,408300,9244,-0.168,8.57
AVU,406800,408920,9217,-0.223,8.58
AVU,406800,409540,9190,-0.24,8.56
AVU,406800,410160,9183,-0.292,8.74
AVU,406800,410780,9187,-0.289,8.86
AVU,406800,411400,9201,-0.318,8.54
AVU,406800,412020,9238,-0.309,8.34
AVU,406800,412640,9260,-0.281,8.74
AVU,407500,405200,9320,-0.048,8.12
AVU,407500,405820,9320,-0.044,8.54
AVU,407500,406440,9302,-0.046,8.3
AVU,407500,407060,9248,-0.105,7.99
AVU,407500,407680,9229,-0.109,8.34
AVU,407500,408300,9186,-0.177,8.2
AVU,407500,408920,9153,-0.191,7.88
AVU,407500,409540,9148,-0.231,8.32
AVU,407500,410160,9138,-0.262,8.5
AVU,407500,410780,9125,-0.26,8.48
AVU,407500,411400,9143,-0.283,8.38
AVU,407500,412020,9174,-0.292,8.49
AVU,407500,412640,9224,-0.273,8.36
AVU,408200,405200,9283,-0.01,7.64
AVU,408200,405820,9258,-0.008,7.81
AVU,408200,406440,9237,-0.001,7.93
AVU,408200,407060,9216,-0.03,7.81
AVU,408200,407680,9182,-0.062,8.02
AVU,408200,408300,9155,-0.111,7.41
AVU,408200,408920,9122,-0.179,7.46
AVU,408200,409540,9099,-0.196,7.35
AVU,408200,410160,9087,-0.205,7.41
AVU,408200,410780,9088,-0.261,7.44
AVU,408200,411400,9119,-0.264,7.65
AVU,408200,412020,9133,-0.231,7.69
AVU,408200,412640,9166,-0.199,7.92
AVU,408900,405200,9235,0.103,6.83
AVU,408900,405820,9237,0.072,7.16
AVU,408900,406440,9220,0.065,7.45
AVU,408900,407060,9192,0.024,7.11
AVU,408900,407680,9136,0.007,6.86
AVU,408900,408300,9095,-0.063,7.51
AVU,408900,408920,9082,-0.072,6.98
AVU,408900,409540,9064,-0.131,7.38
AVU,408900,410160,9058,-0.152,7.27
AVU,408900,410780,9050,-0.196,6.97
AVU,408900,411400,9074,-0.197,7.02
AVU,408900,412020,9109,-0.185,6.98
AVU,408900,412640,9119,-0.167,7.17
SBL,400500,405200,9958,0.286,7.29
SBL,400500,405820,9940,0.31,6.65
SBL,400500,406440,9922,0.274,7.06
SBL,400500,407060,9890,0.234,7.07
SBL,400500,407680,9872,0.191,6.6
SBL,400500,408300,9832,0.183,6.93
SBL,400500,408920,9795,0.109,6.91
SBL,400500,409540,9756,0.079,6.96
SBL,400500,410160,9768,0.067,6.84
SBL,400500,410780,9770,0.048,6.74
SBL,400500,411400,9782,0.01,7.16
SBL,400500,412020,9810,0.051,6.86
SBL,400500,412640,9834,0.076,6.5
SBL,401200,405200,9984,0.259,7.62
SBL,401200,405820,10000,0.221,7.78
SBL,401200,406440,9966,0.227,7.44
SBL,401200,407060,9942,0.193,7.06
SBL,401200,407680,9910,0.141,7.45
SBL,401200,408300,9875,0.138,7.64
SBL,401200,408920,9831,0.082,7.35
SBL,401200,409540,9802,0.057,7.8
SBL,401200,410160,9812,0.015,7.35
SBL,401200,410780,9796,0.012,7.23
SBL,401200,411400,9830,-0.006,7.7
SBL,401200,412020,9847,-0.006,7.75
SBL,401200,412640,9901,0.021,7.67
SBL,401900,405200,10020,0.164,7.77
SBL,401900,405820,10038,0.162,7.69
SBL,401900,406440,10019,0.153,8.07
SBL,401900,407060,9983,0.15,8.19
SBL,401900,407680,9951,0.106,7.68
SBL,401900,408300,9901,0.059,7.63
SBL,401900,408920,9877,0.031,8.14
SBL,401900,409540,9850,-0.041,8.02
SBL,401900,410160,9853,-0.048,8.23
SBL,401900,410780,9855,-0.058,7.85
SBL,401900,411400,9852,-0.09,8.13
SBL,401900,412020,9907,-0.049,8.1
SBL,401900,412640,9934,-0.036,8.05
SBL,402600,405200,10063,0.107,8.63
SBL,402600,405820,10069,0.112,8.44
SBL,402600,406440,10039,0.102,8.26
SBL,402600,407060,10001,0.039,8.24
SBL,402600,407680,9971,0.033,8.49
SBL,402600,408300,9943,-0.038,8.48
SBL,402600,408920,9904,-0.065,8.26
SBL,402600,409540,9884,-0.105,8.02
SBL,402600,410160,9889,-0.124,8.09
SBL,402600,410780,9890,-0.165,8.55
SBL,402600,411400,9892,-0.127,8.34
SBL,402600,412020,9937,-0.156,8.5
SBL,402600,412640,9950,-0.109,8.42
SBL,403300,405200,10084,0.024,8.79
SBL,403300,405820,10074,0.038,8.81
SBL,403300,406440,10046,0.008,8.35
SBL,403300,407060,10015,0.002,8.59
SBL,403300,407680,9978,-0.033,8.76
SBL,403300,408300,9957,-0.096,8.75
SBL,403300,408920,9929,-0.147,8.47
SBL,403300,409540,9902,-0.184,8.79
SBL,403300,410160,9887,-0.217,8.64
SBL,403300,410780,9912,-0.236,8.55
SBL,403300,411400,9910,-0.197,8.44
SBL,403300,412020,9949,-0.217,8.51
SBL,403300,412640,9983,-0.208,9.1
SBL,404000,405200,10086,-0.036,9.2
SBL,404000,405820,10091,-0.015,9.32
SBL,404000,406440,10061,-0.02,8.67
SBL,404000,407060,10031,-0.057,9.2
SBL,404000,407680,9992,-0.091,9.02
SBL,404000,408300,9952,-0.167,9.14
SBL,404000,408920,9932,-0.162,8.84
SBL,404000,409540,9912,-0.237,8.99
SBL,404000,410160,9895,-0.264,9.37
SBL,404000,410780,9903,-0.263,8.7
SBL,404000,411400,9935,-0.28,9.34
SBL,404000,412020,9950,-0.249,8.6
SBL,404000,412640,9994,-0.254,9.25
SBL,404700,405200,10088,-0.027,9.14
SBL,404700,405820,10084,-0.075,9.07
SBL,404700,406440,10041,-0.076,9.2
SBL,404700,407060,10032,-0.1,8.73
SBL,404700,407680,9990,-0.135,8.93
SBL,404700,408300,9955,-0.173,8.99
SBL,404700,408920,9913,-0.236,9.21
SBL,404700,409540,9893,-0.232,9.13
SBL,404700,410160,9878,-0.278,9.17
SBL,404700,410780,9895,-0.296,9.19
SBL,404700,411400,9920,-0.315,9.34
SBL,404700,412020,9940,-0.284,9.42
SBL,404700,412640,9971,-0.284,9.35
SBL,405400,405200,10069,-0.027,9.05
SBL,405400,405820,10064,-0.058,9.11
SBL,405400,406440,10038,-0.05,8.74
SBL,405400,407060,10009,-0.122,9.17
SBL,405400,407680,9961,-0.155,8.95
SBL,405400,408300,9928,-0.17,9.2
SBL,405400,408920,9906,-0.228,8.78
SBL,405400,409540,9892,-0.244,8.78
SBL,405400,410160,9857,-0.27,8.78
SBL,405400,410780,9868,-0.322,8.79
SBL,405400,411400,9887,-0.32,8.82
SBL,405400,412020,9909,-0.324,9.42
SBL,405400,412640,9960,-0.301,8.87
SBL,406100,405200,10015,-0.026,8.67
SBL,406100,405820,10025,0.001,8.87
SBL,406100,406440,9989,-0.026,8.65
SBL,406100,407060,9977,-0.087,9.19
SBL,406100,407680,9920,-0.085,8.79
SBL,406100,408300,9891,-0.167,8.67
SBL,406100,408920,9858,-0.174,8.59
SBL,406100,409540,9834,-0.219,9.21
SBL,406100,410160,9833,-0.237,8.91
SBL,406100,410780,9841,-0.257,8.86
SBL,406100,411400,9865,-0.292,9.02
SBL,406100,412020,9887,-0.268,8.84
SBL,406100,412640,9930,-0.269,8.93
SBL,406800,405200,9987,0.047,8.48
SBL,406800,405820,9982,0.048,9.0
SBL,406800,406440,9965,0.006,8.53
SBL,406800,407060,9915,-0.001,8.55
SBL,406800,407680,9889,-0.054,8.92
SBL,406800,408300,9843,-0.095,8.22
SBL,406800,408920,9831,-0.155,8.33
SBL,406800,409540,9801,-0.147,8.44
SBL,406800,410160,9789,-0.186,8.59
SBL,406800,410780,9783,-0.233,8.53
SBL,406800,411400,9821,-0.224,8.57
SBL,406800,412020,9852,-0.234,8.8
SBL,406800,412640,9876,-0.187,8.61
SBL,407500,405200,9936,0.114,8.0
SBL,407500,405820,9937,0.123,8.6
SBL,407500,406440,9917,0.074,8.32
SBL,407500,407060,9867,0.051,7.95
SBL,407500,407680,9861,0.011,8.6
SBL,407500,408300,9796,-0.001,8.52
SBL,407500,408920,9766,-0.044,7.95
SBL,407500,409540,9752,-0.073,8.61
SBL,407500,410160,9762,-0.132,8.13
SBL,407500,410780,9766,-0.146,8.39
SBL,407500,411400,9766,-0.164,7.87
SBL,407500,412020,9813,-0.166,7.92
SBL,407500,412640,9841,-0.118,7.94
SBL,408200,405200,9895,0.171,7.75
SBL,408200,405820,9885,0.181,7.76
SBL,408200,406440,9854,0.171,8.07
SBL,408200,407060,9836,0.111,7.7
SBL,408200,407680,9804,0.101,7.74
SBL,408200,408300,9781,0.065,7.68
SBL,408200,408920,9725,-0.003,7.86
SBL,408200,409540,9705,-0.002,7.99
SBL,408200,410160,9710,-0.038,7.84
SBL,408200,410780,9709,-0.08,7.93
SBL,408200,411400,9739,-0.055,7.95
SBL,408200,412020,9769,-0.095,7.52
SBL,408200,412640,9794,-0.068,7.38
SBL,408900,405200,9861,0.272,6.86
SBL,408900,405820,9843,0.262,7.46
SBL,408900,406440,9826,0.231,7.26
SBL,408900,407060,9788,0.193,7.31
SBL,408900,407680,9778,0.149,7.03
SBL,408900,408300,9733,0.119,7.53
SBL,408900,408920,9698,0.084,7.19
SBL,408900,409540,9683,0.056,7.24
SBL,408900,410160,9673,-0.01,7.42
SBL,408900,410780,9666,-0.012,7.53
SBL,408900,411400,9682,-0.001,7.39
SBL,408900,412020,9708,-0.008,7.39
SBL,408900,412640,9740,0.02,6.82
